,CustomerID,Genre,Age,Income,Score
0,1,Male,19,15000,0.39
1,2,Male,21,15000,0.81
2,3,Female,20,16000,0.06
3,4,Female,23,16000,0.77
4,5,Female,31,17000,0.4
5,6,Female,22,17000,0.76
6,7,Female,35,18000,0.06
7,8,Female,23,18000,0.94
8,9,Male,64,19000,0.03
9,10,Female,30,19000,0.72
10,11,Male,67,19000,0.14
11,12,Female,35,19000,0.99
12,13,Female,58,20000,0.15
13,14,Female,24,20000,0.77
14,15,Male,37,20000,0.13
15,16,Male,22,20000,0.79
16,17,Female,35,21000,0.35
17,18,Male,20,21000,0.66
18,19,Male,52,23000,0.29
19,20,Female,35,23000,0.98
20,21,Male,35,24000,0.35
21,22,Male,25,24000,0.73
22,23,Female,46,25000,0.05
23,24,Male,31,25000,0.73
24,25,Female,54,28000,0.14
25,26,Male,29,28000,0.82
26,27,Female,45,28000,0.32
27,28,Male,35,28000,0.61
28,29,Female,40,29000,0.31
29,30,Female,23,29000,0.87
30,31,Male,60,30000,0.04
31,32,Female,21,30000,0.73
32,33,Male,53,33000,0.04
33,34,Male,18,33000,0.92
34,35,Female,49,33000,0.14
35,36,Female,21,33000,0.81
36,37,Female,42,34000,0.17
37,38,Female,30,34000,0.73
38,39,Female,36,37000,0.26
39,40,Female,20,37000,0.75
40,41,Female,65,38000,0.35
41,42,Male,24,38000,0.92
42,43,Male,48,39000,0.36
43,44,Female,31,39000,0.61
44,45,Female,49,39000,0.28
45,46,Female,24,39000,0.65
46,47,Female,50,40000,0.55
47,48,Female,27,40000,0.47
48,49,Female,29,40000,0.42
49,50,Female,31,40000,0.42
50,51,Female,49,42000,0.52
51,52,Male,33,42000,0.6
52,53,Female,31,43000,0.54
53,54,Male,59,43000,0.6
54,55,Female,50,43000,0.45
55,56,Male,47,43000,0.41
56,57,Female,51,44000,0.5
57,58,Male,69,44000,0.46
58,59,Female,27,46000,0.51
59,60,Male,53,46000,0.46
60,61,Male,70,46000,0.56
61,62,Male,19,46000,0.55
62,63,Female,67,47000,0.52
63,64,Female,54,47000,0.59
64,65,Male,63,48000,0.51
65,66,Male,18,48000,0.59
66,67,Female,43,48000,0.5
67,68,Female,68,48000,0.48
68,69,Male,19,48000,0.59
69,70,Female,32,48000,0.47
70,71,Male,70,49000,0.55
71,72,Female,47,49000,0.42
72,73,Female,60,50000,0.49
73,74,Female,60,50000,0.56
74,75,Male,59,54000,0.47
75,76,Male,26,54000,0.54
76,77,Female,45,54000,0.53
77,78,Male,40,54000,0.48
78,79,Female,23,54000,0.52
79,80,Female,49,54000,0.42
80,81,Male,57,54000,0.51
81,82,Male,38,54000,0.55
82,83,Male,67,54000,0.41
83,84,Female,46,54000,0.44
84,85,Female,21,54000,0.57
85,86,Male,48,54000,0.46
86,87,Female,55,57000,0.58
87,88,Female,22,57000,0.55
88,89,Female,34,58000,0.6
89,90,Female,50,58000,0.46
90,91,Female,68,59000,0.55
91,92,Male,18,59000,0.41
92,93,Male,48,60000,0.49
93,94,Female,40,60000,0.4
94,95,Female,32,60000,0.42
95,96,Male,24,60000,0.52
96,97,Female,47,60000,0.47
97,98,Female,27,60000,0.5
98,99,Male,48,61000,0.42
99,100,Male,20,61000,0.49
100,101,Female,23,62000,0.41
101,102,Female,49,62000,0.48
102,103,Male,67,62000,0.59
103,104,Male,26,62000,0.55
104,105,Male,49,62000,0.56
105,106,Female,21,62000,0.42
106,107,Female,66,63000,0.5
107,108,Male,54,63000,0.46
108,109,Male,68,63000,0.43
109,110,Male,66,63000,0.48
110,111,Male,65,63000,0.52
111,112,Female,19,63000,0.54
112,113,Female,38,64000,0.42
113,114,Male,19,64000,0.46
114,115,Female,18,65000,0.48
115,116,Female,19,65000,0.5
116,117,Female,63,65000,0.43
117,118,Female,49,65000,0.59
118,119,Female,51,67000,0.43
119,120,Female,50,67000,0.57
120,121,Male,27,67000,0.56
121,122,Female,38,67000,0.4
122,123,Female,40,69000,0.58
123,124,Male,39,69000,0.91
124,125,Female,23,70000,0.29
125,126,Female,31,70000,0.77
126,127,Male,43,71000,0.35
127,128,Male,40,71000,0.95
128,129,Male,59,71000,0.11
129,130,Male,38,71000,0.75
130,131,Male,47,71000,0.09
131,132,Male,39,71000,0.75
132,133,Female,25,72000,0.34
133,134,Female,31,72000,0.71
134,135,Male,20,73000,0.05
135,136,Female,29,73000,0.88
136,137,Female,44,73000,0.07
137,138,Male,32,73000,0.73
138,139,Male,19,74000,0.1
139,140,Female,35,74000,0.72
140,141,Female,57,75000,0.05
141,142,Male,32,75000,0.93
142,143,Female,28,76000,0.4
143,144,Female,32,76000,0.87
144,145,Male,25,77000,0.12
145,146,Male,28,77000,0.97
146,147,Male,48,77000,0.36
147,148,Female,32,77000,0.74
148,149,Female,34,78000,0.22
149,150,Male,34,78000,0.9
150,151,Male,43,78000,0.17
151,152,Male,39,78000,0.88
152,153,Female,44,78000,0.2
153,154,Female,38,78000,0.76
154,155,Female,47,78000,0.16
155,156,Female,27,78000,0.89
156,157,Male,37,78000,0.01
157,158,Female,30,78000,0.78
158,159,Male,34,78000,0.01
159,160,Female,30,78000,0.73
160,161,Female,56,79000,0.35
161,162,Female,29,79000,0.83
162,163,Male,19,81000,0.05
163,164,Female,31,81000,0.93
164,165,Male,50,85000,0.26
165,166,Female,36,85000,0.75
166,167,Male,42,86000,0.2
167,168,Female,33,86000,0.95
168,169,Female,36,87000,0.27
169,170,Male,32,87000,0.63
170,171,Male,40,87000,0.13
171,172,Male,28,87000,0.75
172,173,Male,36,87000,0.1
173,174,Male,36,87000,0.92
174,175,Female,52,88000,0.13
175,176,Female,30,88000,0.86
176,177,Male,58,88000,0.15
177,178,Male,27,88000,0.69
178,179,Male,59,93000,0.14
179,180,Male,35,93000,0.9
180,181,Female,37,97000,0.32
181,182,Female,32,97000,0.86
182,183,Male,46,98000,0.15
183,184,Female,29,98000,0.88
184,185,Female,41,99000,0.39
185,186,Male,30,99000,0.97
186,187,Female,54,101000,0.24
187,188,Male,28,101000,0.68
188,189,Female,41,103000,0.17
189,190,Female,36,103000,0.85
190,191,Female,34,103000,0.23
191,192,Female,32,103000,0.69
192,193,Male,33,113000,0.08
193,194,Female,38,113000,0.91
194,195,Female,47,120000,0.16
195,196,Female,35,120000,0.79
196,197,Female,45,126000,0.28
197,198,Male,32,126000,0.74
198,199,Male,32,137000,0.18
199,200,Male,30,137000,0.83
